DATE,MSPUS,VAL
1/1/63,17800,98999.34297
4/1/63,18000,100393.7008
7/1/63,17900,99736.07038
10/1/63,18500,102817.8862
1/1/64,18500,102365.8694
4/1/64,18900,105156.0582
7/1/64,18900,105223.4043
10/1/64,19400,107660.0257
1/1/65,20200,112107.4169
4/1/65,19800,109726.5774
7/1/65,20200,111426.2191
10/1/65,20300,111986.7299
1/1/66,21000,115671.2673
4/1/66,22100,120495.6629
7/1/66,21500,116676.4253
10/1/66,21400,114915.0685
1/1/67,22300,120175.9878
4/1/67,23300,125087.9154
7/1/67,22500,119505.988
10/1/67,22900,120547.7745
1/1/68,23900,124826.6862
4/1/68,24900,128553.4884
7/1/68,24800,126131.8052
10/1/68,25600,128652.6912
1/1/69,25700,127924.0896
4/1/69,25900,127002.7548
7/1/69,25900,125629.0761
10/1/69,24900,119693.5657
1/1/70,23900,113193.9314
4/1/70,24400,113824.4156
7/1/70,23000,106426.7352
10/1/70,22600,103535.533
1/1/71,24300,110111.2782
4/1/71,25800,116582.5436
7/1/71,25300,113102.2167
10/1/71,25500,113347.1883
1/1/72,26200,116119.4175
4/1/72,26800,118565.7831
7/1/72,27900,122746.6507
10/1/72,29200,126763.981
1/1/73,30200,129357.8454
4/1/73,32700,137010.7551
7/1/73,33500,139229.638
10/1/73,34000,137565.7895
1/1/74,35200,139220.5128
4/1/74,35600,136849.0644
7/1/74,36200,135841.785
10/1/74,37200,135305.8824
1/1/75,38100,135717.5908
4/1/75,39000,137383.0189
7/1/75,38800,134434.8148
10/1/75,41200,140635.337
1/1/76,42800,144354.1219
4/1/76,44200,148830.303
7/1/76,44400,147298.9474
10/1/76,45500,148680.4836
1/1/77,46300,149705.9625
4/1/77,48900,155502
7/1/77,48800,153864.4737
10/1/77,51600,160579.8701
1/1/78,53000,161958.5327
4/1/78,55300,166505.7903
7/1/78,56100,165387.9389
10/1/78,59000,170317.4367
1/1/79,60600,171272.4088
4/1/79,63100,173122.8045
7/1/79,64700,172740.137
10/1/79,62600,163242.8191
1/1/80,63700,162353.3333
4/1/80,64000,157508.0346
7/1/80,64900,155650
10/1/80,66400,155299.1736
1/1/81,66800,152674.7706
4/1/81,69400,155312.6824
7/1/81,69200,151029.9454
10/1/81,70400,151277.0878
1/1/82,66400,141592.3729
4/1/82,69600,147845.0526
7/1/82,69300,144215.0769
10/1/82,71600,148746.9929
1/1/83,73300,151841.0623
4/1/83,74900,153059.8178
7/1/83,77400,156661.3226
10/1/83,75900,152929.4643
1/1/84,78200,155815.6063
4/1/84,80700,159545.3843
7/1/84,81000,159734.1787
10/1/84,79900,156534.059
1/1/85,82800,161961.3434
4/1/85,84300,163269.4037
7/1/85,83200,160376.6908
10/1/85,86800,166133.6
1/1/86,88000,166989.4086
4/1/86,92100,177243.781
7/1/86,93000,179064.4932
10/1/86,95000,182280.1724
1/1/87,97900,186461.711
4/1/87,103400,195136.0763
7/1/87,106000,198817.9965
10/1/87,111500,207430.7217
1/1/88,110000,204076.5517
4/1/88,110000,204103.4983
7/1/88,115000,212547.173
10/1/88,113900,207746.3803
1/1/89,118000,213098.0693
4/1/89,118900,209591.4338
7/1/89,120000,205448.6747
10/1/89,124800,210386.5263
1/1/90,123900,205949.0094
4/1/90,126800,209239.6742
7/1/90,117000,190512.7586
10/1/90,121500,193734.2091
1/1/91,120000,189774.6102
4/1/91,119900,190624.1377
7/1/91,120000,189185.9031
10/1/91,120000,188435.8601
1/1/92,119500,186517.6392
4/1/92,120000,186377.9053
7/1/92,120000,185537.9359
10/1/92,126000,193265.5046
1/1/93,125000,190378.1513
4/1/93,127000,191896.2935
7/1/93,127000,191029.9723
10/1/93,127000,189630.364
1/1/94,130000,193080.6562
4/1/94,130000,191819.769
7/1/94,129700,190184.4239
10/1/94,132000,192542.4096
1/1/95,130000,188543.1894
4/1/95,133900,193206.7622
7/1/95,132000,189946.789
10/1/95,138000,198209.355
1/1/96,137000,195879.8901
4/1/96,139900,198869.508
7/1/96,140000,198894.5223
10/1/96,144100,204120.1094
1/1/97,145000,204497.3024
4/1/97,145800,204982.5816
7/1/97,145000,203754.8317
10/1/97,144200,201885.3573
1/1/98,152200,212889.2802
4/1/98,149500,208995.8385
7/1/98,153000,212970.9375
10/1/98,153000,212111.7694
1/1/99,157400,217743.3564
4/1/99,158700,218419.604
7/1/99,159100,218375.4871
10/1/99,165300,225369.489
1/1/00,165300,223309.267
4/1/00,163200,218227.7168
7/1/00,168800,223427.8633
10/1/00,172900,228595.8723
1/1/01,169800,223384.664
4/1/01,179000,235052.1655
7/1/01,172500,224861.6263
10/1/01,171100,222758.5197
1/1/02,188700,246020.4125
4/1/02,187200,243200.2588
7/1/02,178100,229830.1344
10/1/02,190100,243182.1727
1/1/03,186000,236210.8324
4/1/03,191800,243356.7194
7/1/03,191900,243296.1894
10/1/03,198800,251006.2347
1/1/04,212700,266638.8019
4/1/04,217600,271325.3703
7/1/04,213500,264306.4516
10/1/04,228800,281465.9706
1/1/05,232500,285513.8831
4/1/05,233700,284188.6107
7/1/05,236400,286285.373
10/1/05,243600,289319.9638
1/1/06,247700,294453.5304
4/1/06,246300,291131.0179
7/1/06,235600,275773.9221
10/1/06,245400,288621.5156
1/1/07,257400,300469.3335
4/1/07,242200,279283.2874
7/1/07,241800,276019.5633
10/1/07,238400,269240.7706
1/1/08,233900,258784.4095
4/1/08,235300,258836.379
7/1/08,226500,244039.5405
10/1/08,222500,242214.7745
1/1/09,208400,233050.1073
4/1/09,220900,246808.6978
7/1/09,214300,237561.7587
10/1/09,219000,240771.64
1/1/10,222900,243407.9315
4/1/10,219500,240026.0967
7/1/10,224100,245121.2504
10/1/10,224300,243476.1216
1/1/11,226900,243790.2716
4/1/11,228100,241579.7977
7/1/11,223500,236078.3513
10/1/11,221100,233036.9623
1/1/12,238400,250657.8629
4/1/12,238700,250193.0363
7/1/12,248800,261328.7055
10/1/12,251700,261378.4288
1/1/13,258400,268992.3489
4/1/13,268100,279601.3844
7/1/13,264800,275175.976
10/1/13,273600,284100.5148
1/1/14,275200,284943.0213
4/1/14,288000,297180.7094
7/1/14,281000,288565.1753
10/1/14,298900,307413.9228
1/1/15,289200,300604.2965
4/1/15,289100,298818.5829
7/1/15,295800,303515.7977
10/1/15,302500,311979.6473
1/1/16,299800,310879.8285
4/1/16,306000,315774.4025
7/1/16,303800,312888.656
10/1/16,310900,318698.8326
1/1/17,313100,319835.7794
4/1/17,318200,325153.169
7/1/17,320500,327499.3695
10/1/17,337900,342833.6968
1/1/18,331800,334377.2401
4/1/18,315600,316597.6525
7/1/18,330900,330900
10/1/18,322800,321383.7624
1/1/19,313000,312530.3036
4/1/19,322500,319390.4001
7/1/19,318400,314406.9616
10/1/19,327100,321518.4838
1/1/20,329000,320937.2089
4/1/20,317100,313624.7585
7/1/20,327900,322658.0768
10/1/20,338600,332073.8746
1/1/21,355000,345233.7744
4/1/21,367800,351889.9255
7/1/21,395200,371673.4575
10/1/21,414000,383451.0371
1/1/22,413500,375487.11
4/1/22,437700,389788.0051
7/1/22,438000,382914.6069
10/1/22,442600,384302.9782
1/1/23,429000,369796.7545
4/1/23,418500,358029.6833
7/1/23,435400,368969.727
10/1/23,423200,352460.4778
1/1/24,426800,352603.2142
4/1/24,412300,338315.3927
