DATE,CXU900000LB0403M
1984-01-01,22137
1985-01-01,23128
1986-01-01,23262
1987-01-01,25055
1988-01-01,25649
1989-01-01,27290
1990-01-01,28967
1991-01-01,30274
1992-01-01,29558
1993-01-01,29568
1994-01-01,30810
1995-01-01,32656
1996-01-01,34755
1997-01-01,37455
1998-01-01,38548
1999-01-01,39372
2000-01-01,42770
2001-01-01,46301
2002-01-01,46183
2003-01-01,47430
2004-01-01,48542
2005-01-01,50468
2006-01-01,52748
2007-01-01,52914
2008-01-01,55684
2009-01-01,54461
2010-01-01,55289
2011-01-01,53600
2012-01-01,54394
2013-01-01,55024
2014-01-01,56263
2015-01-01,59741
2016-01-01,61432
2017-01-01,64331
2018-01-01,68683
2019-01-01,70494
2020-01-01,74235
2021-01-01,77909
2022-01-01,82241
2023-01-01,89603
