DATE,MEHOINUSA646N,VAL
1/1/84,22420,37176.35651
1/1/85,23620,37988.64711
1/1/86,24900,38743.40309
1/1/87,26060,39978.94075
1/1/88,27230,40187.72414
1/1/89,28910,41075.09901
1/1/90,29940,40554.02353
1/1/91,30130,38629.92576
1/1/92,30640,38460.62184
1/1/93,31240,38043.66947
1/1/94,32260,38412.1121
1/1/95,34080,39537.3289
1/1/96,35490,40284.70588
1/1/97,37010,40864.2409
1/1/98,38890,42274.87037
1/1/99,40700,43591.25683
1/1/00,41990,43974.17011
1/1/01,42230,42735.02847
1/1/02,42410,42338.4018
1/1/03,43320,42086.35268
1/1/04,44330,42378.81374
1/1/05,46330,42944.71816
1/1/06,48200,42927.74711
1/1/07,50230,43801.28492
1/1/08,50300,42127.26347
1/1/09,49780,41809.62851
1/1/10,49280,40445.8177
1/1/11,50050,40571.84645
1/1/12,51020,40194.91577
1/1/13,53590,41543.53221
1/1/14,53660,41050.96733
1/1/15,56520,43458.95794
1/1/16,59040,44916.23045
1/1/17,61140,45475.16193
1/1/18,63180,46078.98449
1/1/19,68700,49452.05317
1/1/20,68010,47965.77136
1/1/21,70780,49502.15985
1/1/22,74580,48568.51163
1/1/23,80610,49167.49457
