customerNumber,customerName,totalPayments
112,"Signal Gift Stores",80180.98
124,"Mini Gifts Distributors Ltd.",584188.24
129,"Mini Wheels Co.",66710.56
131,"Land of Toys Inc.",107639.94
151,"Muscle Machine Inc",177913.95
157,"Diecast Classics Inc.",98509.25
161,"Technics Stores Inc.",104545.22
173,"Cambridge Collectables Co.",32198.69
175,"Gift Depot Inc.",95424.63
181,"Vitachrome Inc.",72497.64
198,"Auto-Moto Classics Inc.",21554.26
204,"Online Mini Collectables",55577.26
205,Toys4GrownUps.com,93803.30
219,"Boards & Toys Co.",7918.60
239,"Collectable Mini Designs Co.",80375.24
286,"Marta's Replicas Co.",90545.37
319,"Mini Classics",78432.16
320,"Mini Creations Ltd.",101872.52
321,"Corporate Gift Ideas Co.",132340.78
328,"Tekni Collectables Inc.",38281.51
339,"Classic Gift Ideas, Inc",57939.34
347,"Men 'R' US Retailers, Ltd.",41506.19
362,Gifts4AllAges.com,33533.47
363,"Online Diecast Creations Co.",116449.29
379,"Collectables For Less Inc.",73533.65
424,"Classic Legends Inc.",69214.33
447,"Gift Ideas Corp.",49967.78
450,"The Sharp Gifts Warehouse",59551.38
455,"Super Scale Inc.",70378.65
456,"Microscale Inc.",29230.43
462,FunGiftIdeas.com,88627.49
475,"West Coast Collectables Co.",43748.72
486,"Motor Mint Distributors Inc.",77726.59
487,"Signal Collectibles Ltd.",42570.37
495,"Diecast Collectables",65541.74
